gene_id,log2FoldChange__Huang_GSE214411,pvalue__Huang_GSE214411,padj__Huang_GSE214411,log2FoldChange__Mareckova_E_MTAB_14039,pvalue__Mareckova_E_MTAB_14039,padj__Mareckova_E_MTAB_14039,direction_concordant
ENSG00000273748,1.5794130757692049,4.3463215903125013e-08,0.0005728451856031877,0.0483194754091006,0.9467109555120435,0.9999244088149658,True
ENSG00000135298,-1.2679728674984776,3.7358470390285147e-07,0.002461923198719791,-0.26549753364322415,0.6531461189892327,0.9999244088149658,True
ENSG00000204386,0.9836614269559332,7.527113127171287e-07,0.002724537971239723,-0.15668497162869835,0.7428496372061406,0.9999244088149658,False
ENSG00000248905,-1.6694462238337624,8.268704009832241e-07,0.002724537971239723,0.4755168121083753,0.404491872813454,0.9999244088149658,False
ENSG00000136997,1.3714342814153746,1.1346685184897736e-06,0.002990986214739043,-0.655015055417536,0.20682021769158898,0.9999244088149658,False
ENSG00000101665,1.453110086818202,1.7636949770846207e-06,0.0038742499663292165,-0.7596651660597609,0.05074873904563157,0.9999244088149658,False
ENSG00000114784,0.7220411105412331,2.6164534097579612e-06,0.0049264079915157044,-0.13067476125971575,0.7469450986315604,0.9999244088149658,False
ENSG00000135678,-1.9020762596085297,1.1319688397213746e-05,0.01683079846227383,0.6211933790807197,0.4601215923748211,0.9999244088149658,False
ENSG00000106123,-0.9676131099408547,1.1492957978790932e-05,0.01683079846227383,-0.005430410580256556,0.9883814126769076,0.9999244088149658,True
ENSG00000105329,0.6666285202497911,1.2815982595989076e-05,0.0168914650615136,-0.09756443490335326,0.7970543989584812,0.9999244088149658,False
ENSG00000137801,1.6490172173083133,1.5694660153377424e-05,0.018097322049823884,0.4094367904431005,0.40300910283706093,0.9999244088149658,True
ENSG00000134531,1.5468193524187293,1.9043233332114762e-05,0.019306908870559428,-0.07141143452789075,0.9185966904587846,0.9999244088149658,False
ENSG00000221823,0.7621130604109341,3.663640938381951e-05,0.032281757624490474,0.08763857662179625,0.8267010569216229,0.9999244088149658,True
ENSG00000204103,1.2323873706088593,3.6739481363228915e-05,0.032281757624490474,-0.7125612489674583,0.20969659494269788,0.9999244088149658,False
ENSG00000007866,0.6630347493576322,5.3125188401113785e-05,0.04376187394541748,-0.574724257008421,0.22541225883901306,0.9999244088149658,False
ENSG00000203727,-0.9502644810266504,6.345046205291365e-05,0.048024840021743266,0.21825137921916024,0.6257850908129334,0.9999244088149658,False
ENSG00000165644,-1.2936762303417184,7.315812494819802e-05,0.048024840021743266,0.5196299650034273,0.4758805597621252,0.9999244088149658,False
ENSG00000105538,-1.7232068467524708,8.019424505038359e-05,0.048024840021743266,0.18806640124419985,0.7706775763138197,0.9999244088149658,False
ENSG00000130513,1.1843032198250059,8.377204282198612e-05,0.048024840021743266,0.1580445175799041,0.8351263389576005,0.9999244088149658,True
ENSG00000185650,0.7972525818800253,8.380662522762482e-05,0.048024840021743266,-0.2998371218169548,0.4305841575183533,0.9999244088149658,False
ENSG00000132535,0.7319104569424157,0.00012957131581580453,0.06568269009431937,0.12452640404950562,0.7510894399117459,0.9999244088149658,True
ENSG00000102760,1.6880064625012003,0.00013864692294917954,0.06768023868408098,1.4916491712927082,0.05690516541559232,0.9999244088149658,True
ENSG00000141526,1.4316746315589548,0.0001499959283731329,0.07060522628421041,0.22807688554637717,0.7283737160039041,0.9999244088149658,True
ENSG00000166592,1.7114272178711618,0.00017439634763505868,0.07926013316655425,0.2779521896314254,0.6826079044538169,0.9999244088149658,True
ENSG00000176731,0.5474350600692054,0.00018362458626571036,0.08067240156606875,-0.3719681814494469,0.506100718105328,0.9999244088149658,False
ENSG00000096746,0.37672572617961453,0.00020311525372125293,0.0858678632459827,-0.31705471363172644,0.3037908581689245,0.9999244088149658,False
ENSG00000157895,-0.6711567862415398,0.00021406644876001106,0.0858678632459827,-0.005496632528513022,0.9885912789333076,0.9999244088149658,True
ENSG00000132326,0.9808772098072528,0.00021752152231818865,0.0858678632459827,0.08500724815157706,0.8809780705899978,0.9999244088149658,True
ENSG00000271254,-1.4824530064251806,0.00022151042112013747,0.0858678632459827,0.9847873883647354,0.09061330452946521,0.9999244088149658,False
ENSG00000197111,0.5886835312787537,0.00023542104127148708,0.08865283782737712,0.24767399265300644,0.4019899757330785,0.9999244088149658,True
ENSG00000113384,0.5043788630930094,0.0002674210525044176,0.08937644819716742,0.16293313574057242,0.6296562340995062,0.9999244088149658,True
ENSG00000177410,0.6329140333336887,0.00026918878533857484,0.08937644819716742,-0.7697847682342751,0.1240073893023131,0.9999244088149658,False
