gene_id,approved_symbol,is_known_drug_target,drug_id,drug_name,drug_type,max_clinical_stage,queried_at_utc,source_url
ENSG00000168993,CPLX1,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000183508,TENT5C,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000275835,TUBGCP5,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000110799,VWF,True,CHEMBL2108339,EGAPTIVON PEGOL,Unknown,PHASE_2,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000110799,VWF,True,CHEMBL2109624,CAPLACIZUMAB,Antibody,APPROVAL,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000110799,VWF,True,CHEMBL4298126,VON WILLEBRAND FACTOR HUMAN,Unknown,APPROVAL,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000110799,VWF,True,CHEMBL2107873,VONICOG ALFA,Protein,APPROVAL,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000145703,IQGAP2,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000171621,SPSB1,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000125144,MT1G,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000118785,SPP1,True,CHEMBL2109530,ASK-8007,Unknown,PHASE_1_2,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000228262,LINC01320,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000185885,IFITM1,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000019582,CD74,True,CHEMBL4298138,REPOTRECTINIB,Small molecule,APPROVAL,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000019582,CD74,True,CHEMBL1743040,MILATUZUMAB,Antibody,PHASE_1_2,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000215845,TSTD1,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000205502,C2CD4B,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000196436,NPIPB15,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000135480,KRT7,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000205364,MT1M,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000183098,GPC6,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
ENSG00000255823,,False,,,,,2026-08-18T01:53:14.368231+00:00,https://platform-docs.opentargets.org/data-access/graphql-api
