dataset_id,n_donors,n_normal,n_endometriosis,model_fitted,reason,n_genes_tested,n_significant_fdr_0_10,n_higher_in_endometriosis,n_higher_in_normal,minimum_adjusted_p_value,target_cell_type,experimental_unit,input_layer,contrast,fdr_threshold,minimum_cells_per_donor,minimum_pseudobulk_count,minimum_donors_expressed,pydeseq2_version,open_targets_endpoint
Huang_GSE214411,13,7,6,True,~ cycle_group + disease_group,14606,46,32,14,0.0005728451856031877,dStromal_early,donor,layers[counts],Endometriosis - Normal,0.1,20,10,3,0.5.4,https://api.platform.opentargets.org/api/v4/graphql
Mareckova_E-MTAB-14039,8,3,5,True,~ cycle_group + disease_group,13803,12,11,1,0.0001975534137464066,dStromal_early,donor,layers[counts],Endometriosis - Normal,0.1,20,10,3,0.5.4,https://api.platform.opentargets.org/api/v4/graphql
