gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset_id,gene_symbol,effect_scope,contrast,significant_fdr_0_10,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000125144,54.46178261281493,3.009144737207494,0.5307499310894306,5.669609284792272,1.4312353383062132e-08,0.0001975534137464066,Mareckova_E-MTAB-14039,MT1G,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,3.009144737207494,True,False,False,0.0,,
ENSG00000118785,13.451184112709182,4.389797933387412,0.8390056641467057,5.23214338231193,1.675556971860621e-07,0.0011563856441296075,Mareckova_E-MTAB-14039,SPP1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,4.389797933387412,True,True,False,1.0,PHASE_1_2,ASK-8007
ENSG00000228262,37.332959282493576,3.841449480714678,0.7797649059874272,4.926420067405056,8.374984952384594e-07,0.003853330576592152,Mareckova_E-MTAB-14039,LINC01320,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,3.841449480714678,True,False,False,0.0,,
ENSG00000185885,98.26016898909725,1.8614499442195112,0.397903156034303,4.678148227753782,2.894772618992054e-06,0.009989136614986831,Mareckova_E-MTAB-14039,IFITM1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,1.8614499442195112,True,False,False,0.0,,
ENSG00000019582,30.38489516835414,2.6056790445220335,0.5973226129638837,4.362264190188264,1.2872329620150203e-05,0.03553535314938665,Mareckova_E-MTAB-14039,CD74,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,2.6056790445220335,True,True,True,2.0,APPROVAL,MILATUZUMAB; REPOTRECTINIB
ENSG00000215845,23.214332347215397,2.21758005246002,0.5294361060235881,4.188569739067285,2.807180480025934e-05,0.06457918694299661,Mareckova_E-MTAB-14039,TSTD1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,2.21758005246002,True,False,False,0.0,,
ENSG00000205502,9.00994149168228,4.1481052506861635,1.0149837956332908,4.086868449065226,4.372348711487791e-05,0.08621647037809425,Mareckova_E-MTAB-14039,C2CD4B,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,4.1481052506861635,True,False,False,0.0,,
ENSG00000196436,16.811537745266396,-2.9426270571395188,0.7339279418559763,-4.009422300639114,6.086747687108307e-05,0.09368814995922596,Mareckova_E-MTAB-14039,NPIPB15,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_normal,2.9426270571395188,True,False,False,0.0,,
ENSG00000135480,12.772773313730678,3.6835890071568143,0.9250750055132841,3.981935502746558,6.835633137053647e-05,0.09368814995922596,Mareckova_E-MTAB-14039,KRT7,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,3.6835890071568143,True,False,False,0.0,,
ENSG00000205364,11.092864227939131,3.0131722400478633,0.7626063451438395,3.9511502352888654,7.777647860254564e-05,0.09368814995922596,Mareckova_E-MTAB-14039,MT1M,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,True,higher_in_endometriosis,3.0131722400478633,True,False,False,0.0,,
