dataset_id,n_genes_tested,n_significant_fdr_0_10,n_higher_in_endometriosis,n_higher_in_normal,minimum_adjusted_p_value
Huang_GSE214411,14606,46,32,14,0.0005728451856031877
Mareckova_E-MTAB-14039,13803,12,11,1,0.0001975534137464066
