case_control,Ciliated,Cycling,Glandular,Glandular_secretory,HOXA13,Immune_Lymphoid,Immune_Myeloid,MUC5B,SOX9_functionalis_II,SOX9_luminal,Venous,dStromal_early,dStromal_late,dStromal_mid,eHormones,ePV_1a,ePV_1b,ePV_2,eStromal,eStromal_MMPs,eStromal_cycling,mPV,preGlandular,preLuminal,uSMCs
case,1340,2911,5750,302,84,16309,5331,161,6546,2066,4907,8993,831,9881,4157,93,1008,3530,25211,1082,2912,18,12168,429,1
control,1630,1721,445,2690,25,6884,1258,86,6827,594,8106,8801,6,3221,1263,1659,1042,3210,27605,53,3225,857,6340,536,280
