celltypist_label,menstrual_cycle_stage_fine,n_cells,proportion,n_donors,percent,total_cells_in_cell_type
dStromal_mid,Unknown,328,0.025034345901389102,3,2.50343459013891,13102
eHormones,Unknown,31,0.0057195571955719554,3,0.5719557195571956,5420
ePV_1a,Unknown,5,0.0028538812785388126,2,0.28538812785388123,1752
ePV_1b,Unknown,463,0.22585365853658537,3,22.585365853658537,2050
ePV_2,Unknown,865,0.12833827893175073,3,12.833827893175073,6740
eStromal,Unknown,6326,0.11977431081490457,3,11.977431081490456,52816
eStromal_MMPs,Unknown,1,0.000881057268722467,1,0.0881057268722467,1135
eStromal_cycling,Unknown,1041,0.1696268535114877,3,16.96268535114877,6137
mPV,Unknown,3,0.0034285714285714284,2,0.34285714285714286,875
preGlandular,Unknown,1587,0.08574670412794468,3,8.574670412794468,18508
preLuminal,Unknown,175,0.18134715025906736,1,18.134715025906736,965
uSMCs,Unknown,6,0.021352313167259787,1,2.135231316725979,281
