dataset_id,Ciliated,Cycling,Glandular,Glandular_secretory,HOXA13,Immune_Lymphoid,Immune_Myeloid,MUC5B,SOX9_functionalis_II,SOX9_luminal,Venous,dStromal_early,dStromal_late,dStromal_mid,eHormones,ePV_1a,ePV_1b,ePV_2,eStromal,eStromal_MMPs,eStromal_cycling,mPV,preGlandular,preLuminal,uSMCs
Huang_GSE214411,2247,2643,2120,2746,107,18448,1881,226,8063,1508,7770,8870,3,4264,229,102,1422,3847,28138,65,3171,25,12557,326,7
Mareckova_E-MTAB-14039,723,1989,4075,246,2,4745,4708,21,5310,1152,5243,8924,834,8838,5191,1650,628,2893,24678,1070,2966,850,5951,639,274
