predicted_label,n_cells
eStromal,52816
Immune_Lymphoid,23193
preGlandular,18508
dStromal_early,17794
SOX9_functionalis_II,13373
dStromal_mid,13102
Venous,13013
ePV_2,6740
Immune_Myeloid,6589
Glandular,6195
eStromal_cycling,6137
eHormones,5420
Cycling,4632
Glandular_secretory,2992
Ciliated,2970
SOX9_luminal,2660
ePV_1b,2050
ePV_1a,1752
eStromal_MMPs,1135
preLuminal,965
mPV,875
dStromal_late,837
uSMCs,281
MUC5B,247
HOXA13,109
