gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,dataset_id,cell_type,contrast,significant_fdr_0_10,effect_scope,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000105538,13.670233417622116,-1.7232068467524708,0.4369386406694756,-3.943818848596637,8.019424505038359e-05,0.048024840021743266,RASIP1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.7232068467524708,True,False,False,0.0,,
ENSG00000130513,226.80625406726733,1.1843032198250059,0.3010931847076298,3.9333444925862358,8.377204282198612e-05,0.048024840021743266,GDF15,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.1843032198250059,True,False,False,0.0,,
ENSG00000185650,2285.521738433428,0.7972525818800253,0.20269586956516922,3.9332453275457535,8.380662522762482e-05,0.048024840021743266,ZFP36L1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.7972525818800253,True,False,False,0.0,,
ENSG00000198576,59.35562976969475,1.6561393591476194,0.4244157631265812,3.902162697603857,9.533703884769904e-05,0.05100208905997534,ARC,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.6561393591476194,True,False,False,0.0,,
ENSG00000263961,37.35285241985984,-2.0205182010917038,0.5182646394811917,-3.898622532137908,9.674144358872408e-05,0.05100208905997534,RHEX,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,2.0205182010917038,True,False,False,0.0,,
ENSG00000132535,39.18291826637303,0.7319104569424157,0.1912355482747004,3.827271987586024,0.00012957131581580453,0.06568269009431937,DLG4,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.7319104569424157,True,False,False,0.0,,
ENSG00000102760,83.33370058907894,1.6880064625012003,0.44298007972727255,3.8105696841728127,0.00013864692294917954,0.06768023868408098,RGCC,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.6880064625012003,True,False,False,0.0,,
ENSG00000141526,42.76320401544649,1.4316746315589548,0.377643328695329,3.7910761895491754,0.0001499959283731329,0.07060522628421041,SLC16A3,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.4316746315589548,True,False,False,0.0,,
ENSG00000166592,87.25592072084397,1.7114272178711618,0.45595744456891846,3.7534801509584255,0.00017439634763505868,0.07926013316655425,RRAD,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.7114272178711618,True,False,False,0.0,,
ENSG00000176731,610.9807555254754,0.5474350600692054,0.1463518404503065,3.740541003002186,0.00018362458626571036,0.08067240156606875,RBIS,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.5474350600692054,True,False,False,0.0,,
ENSG00000096746,507.81163556095237,0.37672572617961453,0.10140365111948549,3.7151100776017696,0.00020311525372125293,0.0858678632459827,HNRNPH3,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.37672572617961453,True,False,False,0.0,,
ENSG00000157895,51.673934398338176,-0.6711567862415398,0.18130500731697344,-3.7018105355919055,0.00021406644876001106,0.0858678632459827,C12orf43,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,0.6711567862415398,True,False,False,0.0,,
ENSG00000132326,80.79513818414814,0.9808772098072528,0.2652634722907562,3.697747003523011,0.00021752152231818865,0.0858678632459827,PER2,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.9808772098072528,True,False,False,0.0,,
ENSG00000271254,18.951488627164057,-1.4824530064251806,0.40140825594188534,-3.693130334219647,0.00022151042112013747,0.0858678632459827,AC240274.1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.4824530064251806,True,False,False,0.0,,
ENSG00000197111,1002.8615556934494,0.5886835312787537,0.16007190915727226,3.677619229869784,0.00023542104127148708,0.08865283782737712,PCBP2,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.5886835312787537,True,False,False,0.0,,
ENSG00000113384,124.41467418652284,0.5043788630930094,0.138376613416441,3.6449718680070142,0.0002674210525044176,0.08937644819716742,GOLPH3,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.5043788630930094,True,False,False,0.0,,
ENSG00000177410,1758.8613215444655,0.6329140333336887,0.17372108087617272,3.643277086128803,0.00026918878533857484,0.08937644819716742,ZFAS1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.6329140333336887,True,False,False,0.0,,
ENSG00000182979,116.26274339793015,0.5243677081412649,0.14432327192158284,3.6332858946419733,0.0002798346612150463,0.08937644819716742,MTA1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.5243677081412649,True,False,False,0.0,,
ENSG00000004864,48.54775268056398,-0.7268991997481613,0.20014053217286912,-3.631943973848887,0.00028129420108199374,0.08937644819716742,SLC25A13,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,0.7268991997481613,True,False,False,0.0,,
ENSG00000015568,31.30201188557573,1.1588563376869045,0.31914584193550066,3.631118396087734,0.0002821956815321872,0.08937644819716742,RGPD5,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.1588563376869045,True,False,False,0.0,,
ENSG00000168993,34.803093984636796,0.9014086611359268,0.2484032598083715,3.6288117226453087,0.0002847287968044532,0.08937644819716742,CPLX1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.9014086611359268,True,False,False,0.0,,
ENSG00000183508,17.219795448933755,1.4751583578155545,0.4065211482661964,3.6287370635133542,0.00028481113993027553,0.08937644819716742,TENT5C,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.4751583578155545,True,False,False,0.0,,
ENSG00000275835,38.014886667635,-0.7368174586718674,0.2044113439953727,-3.604582036741302,0.00031265568109742424,0.0946102395193274,TUBGCP5,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,0.7368174586718674,True,False,False,0.0,,
ENSG00000110799,10.04100791434537,-1.818461589063252,0.5048555518430048,-3.6019443233314,0.0003158460196396362,0.0946102395193274,VWF,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.818461589063252,True,True,True,4.0,APPROVAL,CAPLACIZUMAB; EGAPTIVON PEGOL; VON WILLEBRAND FACTOR HUMAN; VONICOG ALFA
ENSG00000145703,15.084431615800174,-1.9108771398246902,0.5339673876636495,-3.578640164122472,0.0003453866204361138,0.09936212629361667,IQGAP2,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.9108771398246902,True,False,False,0.0,,
ENSG00000171621,65.61620590820027,0.8822252054760689,0.24659817595525643,3.577582040331647,0.0003467873907060976,0.09936212629361667,SPSB1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.8822252054760689,True,False,False,0.0,,
