dataset_id,cell_type,pathway,set_size,ES,NES,nominal_p_value,leading_edge_genes,FDR,global_dataset_FDR,significant_fdr_0_25,significant_global_dataset_fdr_0_25,msigdb_version,gmt_url
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_INTERFERON_ALPHA_RESPONSE,84,0.5008978758668703,2.0434121780961045,0.0017035775127768314,IFITM1;CD74;EPSTI1;HERC6;IFI44L;RSAD2;MX1;PLSCR1;BST2;CASP8;STAT2;GBP2;NUB1;UBA7;GBP4;IFI27;TRIM14;CMTR1;SP110;USP18;TRIM25;GMPR;DDX60;RNF31;RIPK2;IFI44;HLA-C;IFITM2;SLC25A28,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ANGIOGENESIS,24,0.6341947630278383,1.9651634446222985,0.0018050541516245488,SPP1;POSTN;STC1;FSTL1;CCND2;TNFRSF21;FGFR1;APP;SERPINA5;ITGAV;NRP1;VAV2;LUM;VEGFA;KCNJ8;MSX1,0.009025270758122744,0.011757789535567314,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_APICAL_JUNCTION,141,0.4415917912096674,1.9542209623577251,0.0015527950310559005,VWF;CDH1;MPZL2;CLDN4;ITGA2;TRO;CNN2;CLDN7;ITGA9;MYH9;JUP;ITGA3;SRC;ACTN4;CNTN1;ICAM1;EPB41L2;CX3CL1;GTF2F1;ZYX;RSU1;B4GALT1;MYL9;SIRPA;INSIG1;SYMPK;TGFBI;CALB2;SDC3;CD34;PPP2R2C;MYH10;CD276;NF2;ITGB1;PFN1;ACTN1;JAM3;MSN;SHROOM2;PIK3R3;LAMA3;LAYN;STX4;VAV2;PTEN;PIK3CB;MMP2;BAIAP2;EXOC4;ADAM9;CTNND1;NLGN3;DHX16;RHOF;WNK4,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_G2M_CHECKPOINT,174,0.42805518380519847,1.938169348190056,0.0014947683109118087,NUSAP1;BIRC5;UBE2C;PTTG1;KNL1;CCND1;MT2A;CENPF;TPX2;PRC1;MKI67;SLC38A1;CCNA2;TOP2A;CDC20;CCNB2;CDK1;KIF20B;STIL;KIF23;CDKN3;CDC7;MCM5;CKS2;EFNA5;DBF4;AURKA;NUP50;E2F1;RBL1;TACC3;MEIS2;SLC7A5;NOTCH2;CENPE;INCENP;KIF11;CDC6;STAG1;RPS6KA5;HMMR;TTK;TENT4A;HIRA;MAD2L1;MCM2;CBX1;PLK4;RACGAP1;HIF1A;TOP1;NCL;UPF1;HUS1;SMC4,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_INTERFERON_GAMMA_RESPONSE,148,0.41319677553264855,1.830262034860619,0.0015384615384615385,CD74;HLA-DRB1;EPSTI1;VAMP8;IRF8;MX2;HERC6;MT2A;IFI44L;TNFSF10;HLA-DMA;RSAD2;MX1;PLSCR1;BST2;OAS2;SAMHD1;XAF1;CASP8;ICAM1;STAT2;MTHFD2;STAT1;P2RY14;GBP4;OAS3;ST3GAL5;IFI27;TRIM14;IFIT1;CMTR1;SP110;USP18;TRIM25;ARID5B;DDX60;RNF31;HIF1A;CASP7;RIPK2;IFI44;PTPN1;IFITM2;SLC25A28;PFKP;SERPING1;MYD88;CDKN1A;ADAR,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_KRAS_SIGNALING_UP,135,0.406605962670314,1.7919568670379555,0.0015360983102918587,SPP1;DUSP6;TSPAN1;MPZL2;ACE;ITGA2;MMP11;IL33;IRF8;GUCY1A1;APOD;SLPI;JUP;F13A1;LIF;ADGRL4;GABRA3;TSPAN7;ETS1;GALNT3;ST6GAL1;CCND2;ID2;ALDH1A2;ETV1;IGFBP3;GPRC5B;LCP1;TRIB2;FGF9;PRDM1;CXCR4;PRRX1;ETV5;CA2;SNAP91;PEG3;TNFRSF1B;ADGRA2;ANO1,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_COAGULATION,84,0.4354841903514959,1.7765571403003542,0.0017035775127768314,DUSP6;VWF;CTSV;CLU;ITGA2;MMP11;C3;MMP14;P2RY1;APOC1;HTRA1;A2M;LTA4H;LGMN;ANG;TFPI2;MMP7;PROS1;CFI;CD9;CTSK;RGN,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_MITOTIC_SPINDLE,185,0.3625156376503288,1.669398553520717,0.0014903129657228018,NUSAP1;BIRC5;FGD4;SORBS2;CENPF;TPX2;PRC1;EZR;TOP2A;CCNB2;CDK1;KIF20B;MYH9;CNTRL;ACTN4;ANLN;KIF23;LLGL1;RFC1;PDLIM5;EPB41L2;PXN;AURKA;FLNB;CD2AP;SUN2;PREX1;ARHGAP29;NOTCH2;CENPE;MYO1E;INCENP;FGD6;CNTROB;STK38L;KIF11;MYH10;MID1;CEP192;TTK,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_E2F_TARGETS,182,0.35541671779137685,1.6366225195100768,0.0015015015015015015,BIRC5;PTTG1;CDKN2A;TRIP13;MKI67;ATAD2;TOP2A;CDC20;CCNB2;CDK1;SHMT1;CDKN3;RFC3;ORC2;MCM5;RFC1;CKS2;MTHFD2;TCF19;RAD51AP1;AURKA;SPAG5;TACC3;RRM2;CENPM;CCP110;GINS4;CENPE;HELLS;NBN;STAG1;MCM4;POLD3;HMMR;GINS1;NCAPD2;MCM7;PA2G4;MAD2L1;UBE2T;LIG1;MCM2;PLK4;RACGAP1;CHEK2;TK1;HUS1;SMC4;MELK;CDKN1A;ZW10;DEK;TP53;MCM3,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,176,0.3510967523560151,1.6147660972988578,0.0015600624024961,SPP1;POSTN;FBN2;ITGA2;SDC4;NTM;MYLK;MFAP5;FAP;MMP14;HTRA1;PTHLH;SNTB1;FSTL1;BGN;GLIPR1;LAMA2;GJA1;ID2;FBLN5;CAP2;TFPI2;SFRP1;ACTA2;MYL9;IGFBP3;COL6A3;ITGB5;NOTCH2;TGFBI;COL11A1;IGFBP4;CALD1;TGM2;THBS1;ITGB1;TAGLN;PRRX1;MCM7;COLGALT1;LOXL1;SAT1;MGP;PDGFRB;ITGAV;COL5A1;FMOD;SFRP4,0.009025270758122744,0.011689070718877849,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
