kl_weight,train_loss,elbo_train,reconstruction_loss_train,kl_local_train,kl_global_train,validation_loss,elbo_validation,reconstruction_loss_validation,kl_local_validation,kl_global_validation
0.0,1531.5174560546875,1588.2686767578125,1531.5174560546875,56.751190185546875,0.0,1083.2657470703125,1175.5557861328125,1082.3336181640625,93.22216033935547,0.0
0.0024999999441206455,1176.1749267578125,1255.123046875,1175.97705078125,79.14595794677734,0.0,1037.25244140625,1114.8363037109375,1035.4666748046875,79.36962127685547,0.0
0.004999999888241291,1131.2069091796875,1222.4775390625,1130.7481689453125,91.72943115234375,0.0,1011.4428100585938,1080.2305908203125,1008.9481201171875,71.28251647949219,0.0
0.007499999832361937,1109.0596923828125,1203.600830078125,1108.345458984375,95.2553482055664,0.0,995.6106567382812,1061.533203125,992.3233032226562,69.20985412597656,0.0
0.009999999776482582,1093.0657958984375,1186.5543212890625,1092.1212158203125,94.43311309814453,0.0,985.2201538085938,1046.681640625,981.2969970703125,65.38465118408203,0.0
0.012500000186264515,1080.3980712890625,1171.2965087890625,1079.24755859375,92.04899597167969,0.0,979.937744140625,1037.1708984375,975.4638671875,61.707054138183594,0.0
0.014999999664723873,1069.667236328125,1157.7113037109375,1068.32666015625,89.38459014892578,0.0,975.7619018554688,1029.34912109375,970.7838134765625,58.56525802612305,0.0
0.017500000074505806,1060.4876708984375,1145.8717041015625,1058.966796875,86.90495300292969,0.0,,,,,
0.019999999552965164,1052.3564453125,1135.2967529296875,1050.663818359375,84.6329574584961,0.0,,,,,
0.02250000089406967,1045.0694580078125,1125.5556640625,1043.2169189453125,82.33872985839844,0.0,,,,,
0.02500000037252903,1038.551513671875,1117.076904296875,1036.5379638671875,80.53888702392578,0.0,,,,,
0.027499999850988388,1032.6842041015625,1109.4747314453125,1030.5126953125,78.96208953857422,0.0,,,,,
0.029999999329447746,1027.470947265625,1102.6337890625,1025.1463623046875,77.48745727539062,0.0,,,,,
0.032499998807907104,1022.622802734375,1096.2244873046875,1020.1502685546875,76.07418060302734,0.0,,,,,
0.03500000014901161,1018.14404296875,1090.5816650390625,1015.5169677734375,75.06464385986328,0.0,,,,,
0.03750000149011612,1014.1884155273438,1085.4532470703125,1011.4116821289062,74.04156494140625,0.0,,,,,
0.03999999910593033,1010.6520385742188,1080.7232666015625,1007.7319946289062,72.9912338256836,0.0,,,,,
0.042500000447034836,1007.150634765625,1076.2491455078125,1004.0833740234375,72.16580200195312,0.0,,,,,
0.04500000178813934,1004.1944580078125,1072.324462890625,1000.9844360351562,71.34003448486328,0.0,,,,,
0.04749999940395355,1001.7186889648438,1068.7933349609375,998.3736572265625,70.41962432861328,0.0,,,,,
0.05000000074505806,998.957763671875,1065.2098388671875,995.4710083007812,69.73882293701172,0.0,,,,,
0.05249999836087227,996.6843872070312,1061.970947265625,993.06689453125,68.90399169921875,0.0,,,,,
0.054999999701976776,994.6563110351562,1059.1800537109375,990.9007568359375,68.27934265136719,0.0,,,,,
0.057500001043081284,992.7966918945312,1056.39599609375,988.9163208007812,67.47962951660156,0.0,,,,,
0.05999999865889549,991.2075805664062,1054.0262451171875,987.1979370117188,66.82829284667969,0.0,,,,,
0.0625,989.763427734375,1051.7069091796875,985.6337280273438,66.07315826416016,0.0,,,,,
0.06499999761581421,988.4884033203125,1049.6922607421875,984.2338256835938,65.45848846435547,0.0,,,,,
0.06750000268220901,987.092529296875,1047.4940185546875,982.7200927734375,64.77388763427734,0.0,,,,,
0.07000000029802322,986.0096435546875,1045.5611572265625,981.527587890625,64.03356170654297,0.0,,,,,
0.07249999791383743,985.2177734375,1044.2437744140625,980.6036987304688,63.64006423950195,0.0,,,,,
0.07500000298023224,984.266845703125,1042.333984375,979.5584106445312,62.775630950927734,0.0,,,,,
0.07750000059604645,983.6483764648438,1041.1810302734375,978.8148803710938,62.36610412597656,0.0,,,,,
0.07999999821186066,982.8629150390625,1039.7518310546875,977.9159545898438,61.83583450317383,0.0,,,,,
0.08250000327825546,982.4708251953125,1038.736328125,977.4115600585938,61.32473373413086,0.0,,,,,
0.08500000089406967,981.8334350585938,1037.4649658203125,976.6659545898438,60.798954010009766,0.0,,,,,
0.08749999850988388,981.4844360351562,1036.6143798828125,976.1984252929688,60.415924072265625,0.0,,,,,
0.09000000357627869,981.1488647460938,1035.5738525390625,975.7661743164062,59.80765151977539,0.0,,,,,
0.0925000011920929,980.775634765625,1034.7283935546875,975.2764282226562,59.452003479003906,0.0,,,,,
0.0949999988079071,980.3978881835938,1033.767578125,974.7958984375,58.97161865234375,0.0,,,,,
