gene_id,gene_symbol,gene_louvain,selected_by_dispersion,forced_into_gene_analysis,mean_log_cp10k,fraction_cells_expressing
ENSG00000170312,CDK1,8,True,False,0.13272086,0.13611566406536682
ENSG00000148773,MKI67,8,True,False,0.17245542,0.1331751351615823
ENSG00000157456,CCNB2,8,True,False,0.07625976,0.09347065587004917
ENSG00000132646,PCNA,8,True,False,0.26162153,0.32729897008097464
